statement,label
Merge customer service interactions across channels to improve service personalization.,0
Inquiring about an individual's home ownership status for a market research survey.,0
Analyzing purchasing data from third-party vendors.,1
"Insurance companies adjust premiums based on lifestyle data collected from wearable devices, pressuring individuals to change their behaviors.",1
Unsolicited advertisements through text messages.,1
Exposing individuals' privately expressed doubts or criticism towards their employer or leaders.,1
"Biometric authentication systems collect data on physical attributes, raising privacy concerns and potential for misuse.",1
Landlords conducting background checks on potential tenants using undisclosed sources or criteria.,1
Incorrect reporting of an individual's voting history.,1
User-generated travel sites include personal experiences and encounters.,0
A medical practitioner discusses a patient's health status in a public setting.,1
Urging social media users to complete their profiles.,0
Inquiring about language proficiency and learning methods.,0
A child's parent posts sensitive information about the child's health on a social media platform without understanding the privacy implications.,1
Summarize bike-share rentals to plan urban cycling infrastructure.,0
An insurance company employee discusses a client's recent health claim openly in a public setting.,1
"When Mrs. Harris walked into her favorite clothing store, she was pleasantly surprised by their new feature: a health-conscious clothing recommendation. To her amazement, they had begun gathering information about each customer's health and medication use, ensuring a personalized service that catered to individual needs. As a diabetic, Mrs. Harris appreciated the thoughtfulness of this unusual approach in a fashion business. Based on her condition, they recommended clothing with special fabric, designed to regulate body temperature and manage moisture, thus ensuring her comfort in all seasons.",1
"A manipulated audio clip is shared online, inaccurately representing a person's speech.",1
Web developers allow web visitors to see other customers' records by changing the customer ID number in the URL.,1
Analyzing the wear patterns on physical objects for user interaction.,0
Overhearing a private conversation due to a bugged office.,1
Sharing medical treatment information about someone’s undisclosed illness.,1
Spreading fabricated incidents of misconduct in sports on fan sites.,1
Online archives of newspapers include personal ads and announcements.,0
False statements about someone's voting behavior or political donations in political analysis.,1
Merge real estate transaction data to identify market trends.,0
Demand favors by threatening to report an individual's undocumented status.,1
"Subscription services make it difficult to cancel, subtly forcing continued use and payment.",0
Collect data on app usage patterns to identify popular features.,0
Victims were asked to provide sexually explicit photos in exchange for not disclosing existing pornographic photos.,1
"Travel blogs detail personal experiences, including interactions with locals.",0
An internet service provider accidentally discloses a user's browsing history.,1
Merge historical sales data with inventory levels to predict product restocking needs.,0
A photo printing service uses image data to advertise personalized goods.,1
Live feeds from private security cameras are accessible on the internet.,1
Inquiring about sleep patterns for sleep study research.,0
Posting confidential legal communications between an attorney and their client.,1
A testimonial on a healthcare provider's website includes made-up patient success stories.,0
"People are forced to register an account to use some features of a service, even though registration is technically not necessary to use the service.",0
Capturing traffic flow data to analyze congestion and plan infrastructure.,0
A TV talk show takes a guest's comments out of context to misrepresent their views.,0
Summarizing data from workplace productivity tools to assess employee performance or burnout risk.,0
A cloud storage provider uses file metadata to market third-party office software solutions.,1
"Public disclosure of registry data for domains, including home addresses of registrants.",1
Utilizing satellite imagery to identify individuals based on location and activities.,1
Linking online forum posts with email addresses through metadata analysis to uncover anonymous posters.,1
A voyeuristic video shot in a locker room is uploaded to the internet without the subjects' consent.,1
Information about your friends and what they like is collected by your workplace in order to Identify employee programs you might be interested in.,0
A celebrity's phone number is leaked as part of a promotional gimmick gone wrong.,1
Online petitions disclosing names and contact information of signatories.,1
Wearable fitness devices estimate calories burned and exercise efficiency without explaining the algorithms or accuracy.,0
Requesting an individual's extended family income for a school financial aid form.,1
Inquiring about daily routines and schedules for a research project.,0
A streaming service uses your listening or viewing history to create and promote playlists or shows in your name.,1
Cameras in the store.,0
Tracking cargo and shipments via GPS for logistics.,0
Cross-referencing credit card transaction logs with customer loyalty program information to identify purchasing habits.,1
Home ownership records and property values accessible through government portals.,0
"Satellite mapping services incorrectly stating a business's location, affecting its foot traffic.",0
Aggregate consumer feedback from multiple sources to assess product satisfaction.,0
Tracking the distribution of pharmaceuticals.,0
A person's participation in a controversial art project is publicly identified.,1
"People are forced to register an account to use some features of a service, even though registration is technically not necessary to use the service.",0
Employing heat sensors to detect presence in a building.,0
Soliciting opinions on public issues for governmental policy formulation.,0
Collect courthouse entry records to monitor public interest in trials.,0
Automatic scanning of email attachments for viruses (and content scanning).,0
Employment screening services compile reports based on social media activity without candidates' knowledge or dispute mechanisms.,1
Soliciting information about dietary restrictions for a catering event.,0
Divulging a friend’s undisclosed pregnancy to others.,1
Scholarship recipient lists are published with personal bios.,1
Membership lists of clubs or societies are shared online.,1
Publishing unauthorized photos of an individual during a secretive cultural ritual.,1
"Smart appliances recommend maintenance or replacements based on usage data, influencing household spending.",0
A healthcare provider uses patient contact information to send marketing materials for their new services.,1
Having inaccurate employment information on a publicly accessible website.,1
Gathering information about attitudes toward environmental conservation.,0
Information about your friends and what they like is collected by a clothing store in order to Sell to a tracking company who then combines the data with you other activities.,1
Discussing unreleased government policies or strategies at a public symposium.,0
Inquiring about a consumer's use of credit cards and loan services for a credit score.,0
Overly intrusive background checks for employment.,1
Threatening to expose a hidden familial relationship that could lead to public scandal.,1
Subscription services tracking viewer habits for content recommendations.,0
A hacked email account leads to personal correspondences being leaked.,1
Tracking attendees’ movements at a conference with badges.,1
A company sends spam emails about all their products after you order one.,0
Using pressure sensors in public seating areas for occupancy monitoring.,0
Listening to private voicemails.,1
Summarizing data from job postings and applications to identify labor market trends.,0
Collect data from biometric scanners to enhance security systems.,0
Pressing for personal stories of overcoming adversity in motivational speaking engagements.,0
"Food delivery apps recommend dishes based on previous orders, influencing dietary choices.",0
An app developer uses your ideas shared in a public forum as features in their product.,0
A book includes detailed personal anecdotes without changing enough details to anonymize subjects.,1
"Employment histories are shared on professional networking sites, such as LinkedIn.",0
Employers scoring employees' productivity with hidden metrics and not sharing the results with the staff.,1
Demanding a fee to cover up a person's plagiarism in academic work.,1
Probing for dietary habits in nutritional studies.,0
A social media platform inadvertently publishes a user's private messages.,1
Merge employee performance metrics to inform promotions and reward systems.,0
Aggregate a shopper’s purchase history to serve targeted ads based on inferred characteristics (such as pregnancy).,1
Probing for thoughts and feelings in therapy sessions.,0
Recording the usage of public facilities like parks and recreational areas.,0
Connecting anonymized patient data from different hospitals or clinics using shared medical identifiers.,1
Conducting loud surveys or polls in residential areas.,0
Exposing an individual's secret contributions to a controversial cause.,1
"Joshua, a prolific reader with an avid interest in politics, frequently visited his local library. The personnel at the library, noticing his passion, decided to collect information about his political views and the candidates he supported. By analyzing this data, they hoped to provide him with book recommendations that align with his interests. Joshua was pleasantly surprised when he received a list of newly arrived political commentaries right up his alley.",0
Utilizes a computer device's fingerprint and a person's registration to connect that person to other websites or applications that do not require registration.,1
Incorrectly attributing historical achievements or discoveries to individuals in educational materials.,0
Aggregating buying patterns across different seasons to forecast sales and stock requirements.,0
Use of telescopes or binoculars to look into private residences.,1
A company CEO accidentally disclosing merger talks on a live webcast.,0
Sending frequent flyer miles or rewards program emails constantly.,0
Tracking participation in online courses and webinars.,0
"Jared, a deeply religious student, was unaware his university had been subtly gathering information about his spiritual inclinations. The institution, thirsty for additional revenues, compiled these insights meticulously, resulting in comprehensive behavioral patterns of its diverse student body. Unbeknownst to Jared, his religious fidelity made him a prime target for certain financial corporations. Capitalizing on this information, these companies bombarded him with lucrative offers of specially designed credit cards and student loans, to align with his ethically-driven financial habits.",1
Posting false testimonials of product usage or satisfaction.,0
"A hotel's online reservation system does not have a timeout feature, exposing previous customers’ data to others.",1
Compiling public video testimonies with face recognition to identify anonymous speakers.,1
A social media challenge leads to the unintentional disclosure of private residential addresses.,1
"Analyzing literary patterns (e.g., texting speed, typos) to verify identity.",0
Questioning about personal values and morals in ethical studies.,0
Summarize engagement with digital art platforms to support emerging artists.,0
Utilizing loyalty program data to identify individuals' travel patterns.,1
Online gaming platforms using undisclosed behavior tracking to personalize experiences or advertisements.,1
"Terms and conditions are often difficult to read for the average end-user without legal knowledge; therefore, it is possible to hide malicious provisions in there because they are unlikely to be noticed.",0
A documentary film includes staged interviews that distort the image of a cultural group.,0
Aggressive panhandling while you're trying to relax in a park.,0
Walls of honor in public spaces list donors with their level of contribution.,0
A fitness equipment app sharing workout data with sportswear brands for marketing campaigns.,1
Analyzing fitness tracker data combined with dietary preferences to offer personalized health advice.,0
Newspapers publish photos of celebrities doing private things at home.,1
Soliciting donations outside someone’s home.,0
Logging activity in computer labs and internet cafés.,1
A network administrator fails to monitor and address suspicious outgoing traffic from the internal network.,0
"Job boards using automated filtering systems that reject applications before a human ever sees them, without providing feedback to the applicant.",0
An automated system generates default passwords that are easily guessable for new user accounts.,1
Compile user interactions with online advertisements to optimize marketing campaigns.,0
Questioning about leisure activities for recreational program planning.,0
Summarize crowdfunding contributions to detect investment trends.,0
Pooling data from social media activity to determine political affiliations or sentiment about public issues.,1
Misuse of facial recognition technology in public places.,1
Interrogating a tax filer about possible deductions and sources of income during a tax audit.,0
A financial advisor reveals personal financial information about a client during an industry conference.,1
A social networking site uses your personal information to create targeted advertising profiles.,1
"A gaming service does not encrypt chat logs, compromising player privacy.",1
Publishing a secretly taken photo of a celebrity's newborn.,1
A streaming platform uses a clip of you singing or playing an instrument as part of their promotional materials.,1
Analyzing handwriting on electronic devices with styluses.,0
Monitoring public sentiment through analysis of social media posts.,0
Employing body-worn cameras by law enforcement officers.,0
Compile sensor data from smart cities to plan infrastructure improvements.,0
Probing individuals to list all the countries they have visited for a visa application.,0
Merging accident and emergency response data to assess public safety or health risks in regions.,0
A social worker discusses a case within earshot of unauthorized individuals.,1
Educational institutions apply predictive analytics to student data to make decisions on admissions or interventions without student input.,1
"Parental control software restricts internet access for children, shaping their knowledge and viewpoints.",0
Information about The state of your health and medications you take is collected by your doctor in order to diagnose and treat your condition.,0
"Robert, the main character, lived near an innovative local library that had a unique custom of collecting information about its patron's friends and their interests. Friends like Jessica, who indulged in whimsical love stories, or Sam, who always had his nose buried in historical novels. The library, with the consent of their patrons, used this information to curate a personalized list of book recommendations that would sit well with everybody's tastes. Thus, it was through his library's remarkable initiative that Robert discovered his love for fantasy novels, which became an instant hit with his friends too.",0
Disclosing a person's secret affiliations or club memberships.,1
Monitoring bank account activity for fraud detection.,0
Employing license plate readers on police vehicles.,0
"Drone surveillance being conducted by organizations without clear policies on data collection, storage, and usage.",1
Corporate IT departments scanning for unsecure or unauthorized devices.,0
A facial recognition system incorrectly tags someone in a public demonstration.,1
A social media algorithm decreases the visibility of a user's posts without providing the user with information about this decision.,1
You ask for your medical health records and receive the medical records of someone with the same name.,1
A medical facility inadvertently publishes a patient's HIV status.,1
An auction site uses purchase history to suggest items from affiliated sellers.,0
Aggregate a user's search history to better reveal user interests.,1
Art galleries list artists' biographies and personal stories on their websites.,0
A podcast uses sound bites of your voice from a public talk without your consent.,1
Tracking changes in land use through historical aerial photography.,0
Asking about personal fears or phobias in psychological studies.,0
Libraries not making users aware that their borrowing history could be analyzed for trends without their consent.,1
Investigating personal coping mechanisms for stress in a psychological assessment.,0
An email mishap sends a list of attendees for an addiction recovery meeting to non-members.,1
Social media friend requests from complete strangers.,0
An artist uses your likeness in their artwork and sells it commercially without your agreement.,1
A disgruntled employee publishing their co-worker's salary information.,1
Analyzing sewing patterns and thread choices in cloth items to link them to specific individuals.,1
A former company executive writes a tell-all book including confidential corporate practices.,1
Combine workout data from different fitness apps to create a holistic health profile.,1
Insurance claims are shared with third party adjusters and other entities.,1
A lawyer discusses details of a high-profile divorce outside of court.,1
Probing someone’s nationality or ethnicity during a census survey.,0
Asking about nationality for visa applications.,0
Integrate data from charity and donation platforms to track philanthropic trends.,0
Drone photography of private properties without consent.,1
Requesting information about marital status during legal procedures.,0
Summarize television viewing preferences to influence programming decisions.,0
Combine volunteer hours with program impacts to assess community service effectiveness.,0
Asking about family planning intentions during promotional interviews.,1
Wrongly attributing authorship of offensive content to individuals on blogs.,1
Default options in systems are sometimes detrimental to privacy because they make it easy to share personal data.,0
Compiling user-generated content across platforms to assess creativity and influence levels.,0
A company's HR personnel shares an employee’s family and medical leave information with other staff.,1
Merging fitness and dietary app data to offer personalized health and wellness advice.,0
Unsolicited advice on personal appearance from strangers.,0
Government expenditure records are searchable and list recipients with associated projects.,0
A meal planning and delivery service sharing your dietary preferences with health and wellness advertisers.,1
Analyzing consumption patterns in digital music services to identify listeners.,1
Recording of public speeches and rallies.,0
Online forums show user’s IP addresses and posting history.,1
Probing for information about personal hobbies and interests in a social club membership application.,0
Monitoring heart rate and biometrics through a smartwatch.,0
Information about your purchasing habits is collected by your school or university in order to Offer to sell to financial companies who market credit cards and loans to students.,1
A photography service uses your photographs in their portfolio without giving you any credit.,1
A legal firm shares sensitive case documents over unencrypted email with clients.,1
Asking about previous addresses for a security clearance process.,0
Collect academic records to assess a student’s learning progress and potential struggles.,0
Falsely reporting an individual's involvement in scandals on tabloid websites.,1
A satellite radio service tracks listening preferences to sell music affinity data to marketers.,1
Using body-worn cameras by police officers during their patrols.,0
A user’s browser auto-fills sensitive information on a shared computer.,1
"An email service provider scans emails for keywords to target advertisements, without clear consent from users.",1
Tracking the sale and dispensation of controlled medications in pharmacies.,0
Use the threat of exposing a person's previous identity pre-gender transition.,1
"Security patches and updates for critical software are not promptly applied, leaving systems exposed.",0
Publicly posted wedding registries reveal couples’ personal preferences and home addresses.,1
Aggregate user-generated content to curate feeds or selections.,0
Gathering data on noise exposure in personal and professional environments.,0
Inquiring about physical activity and exercise routines for health assessments.,0
Supermarkets monitoring product shelf life through RFID tags.,0
Aggregate data from wearable tech to study population health trends.,0
Analyzing consumer electronics repair records to identify ownership patterns of specific devices.,0
Analyzing sewage to monitor drug use in communities.,0
Delivery flyers being placed under your door constantly.,0
Unsecured personal blogs that share too much personal detail inadvertently.,1
Fake reviews that misrepresent someone's professional services.,1
Seating at a restaurant that is too close to other patrons.,0
Aggregate sensor data from smart homes to implement security measures and anomaly detection.,0
A recipe app sells users’ diet preferences to food companies for product development.,1
Video platforms publish viewer comments and interactions linked to user profiles.,0
"A web application exposes internal debug information to users, potentially revealing vulnerabilities.",0
An online survey tool accidentally publishes respondents' personal information along with their responses.,1
Sharing someone's personal blog posts without permission.,1
Disrupting Privacy makes the process of changing default privacy settings very complicated for users because there is little introduction to the available settings.,0
Robocalls with prerecorded messages.,0
"Tagging a person's name in a photo on a social media platform, connecting their identity to the image.",1
Employers monitoring personal social media accounts.,1
Compiling public record information for background checks.,0
"Smartphones offer predictive text and autocorrect based on collected typing data, influencing communication.",0
Non-stop message notifications from group chats.,0
Body-worn cameras by police officers.,0
Analysis of garbage to determine consumption patterns.,1
An online retailer shares purchase history with other companies for targeted ads.,1
Correlating IP addresses with user accounts across multiple services to build a comprehensive profile of online activity.,1
A smart home device company shares voice command data with third-party analytics firms.,1
Matching scrapes and paint transfers on vehicles to specific accidents or locations.,0
An online service provider sells user email addresses to a third-party advertiser.,1
Leaking private photographs of someone before their gender transition.,1
Car alarms that go off repeatedly without reason.,0
A child tells classmates about a private family matter after overhearing the parents' conversation.,0
Aggregate earnings reports to forecast economic trends.,0
"Personal data is transmitted over networks without adequate security controls, exposing it to potential interception.",1
Collect data from smart home devices to optimize energy usage and detect anomalies.,0
"An employee's job application, including personal references, is leaked online.",1
Websites publishing incorrect reviews for a professional's services.,1
Using a baby monitor to listen to a child's room.,0
Information about your political views and candidates you support is collected by your school or university in order to Offer to sell to financial companies who market credit cards and loans to students.,1
Connecting a username on a forum to an individual based on their email registration.,1
Distributing a video of a person caught in a natural disaster.,1
"A business does not employ network segmentation, allowing an attacker to easily move laterally within the network.",0
Combine public speaking engagements and content to craft a public figure's image.,0
"Political campaigns use personal data to micro-target voters with tailored messages, affecting democratic decision-making.",1
"People are forced to register an account to use some features of a service, even though registration is technically not necessary to use the service.",0
Automated bots scrape and combine personal information to create profiles on individuals.,1
Inquiring about an individual’s health history during a medical consultation.,0
Combine language learning app data to track progression and tailor learning materials.,0
Compile viewers' reactions to television shows to influence future programming.,0
An employee accesses confidential files through a coworker's unattended computer.,1
Publicity seekers camping outside someone's residence.,1
Posting a screenshot of someone's private text conversation on social media.,1
Combine data from academic journals to highlight research gaps.,0
Linking a vehicle identification number (VIN) to the owner in a government database.,1
Surveying internet browsing habits for cybersecurity purposes.,0
Record user activity in a mobile application.,0
Asking for descriptions of pain or symptoms in medical diagnostics.,0
Court records are placed online and in a searchable format.,0
"In the bustling hub of online activity, John Doe, the main character, unknowingly becomes a pixel in the grand data painting. A savvy internet search website collects the details about his Social Security Number. The information, a valuable asset, is then offered to various advertising companies. As a result, whenever John ventures onto other sites, he is greeted with tailored ads, expertly crafted based on his identifiable information.",1
Grilling a potential juror about their experiences with crime for jury selection.,0
A company sends spam emails about all their products after you order one.,0
Analyzing sewage for drug usage in communities.,0
Falsely reporting someone as a holder of a specific world record.,0
Fitness trackers selling user-generated health data to third parties without making it clear to users.,1
"An employee uses a weak Wi-Fi network while working remotely, compromising company data.",0
A voice assistant analyzing and selling your query data to develop targeted ad campaigns.,1
Drones with cameras capture footage in areas where individuals expect privacy.,1
"Remote desktop access is not securely configured, allowing unauthorized remote control.",1
Leaking an individual's off-the-record comments made at a public event.,1
Pressing for personal identification numbers (PINs) during banking verification processes.,0
Criminals purchase the information/addresses of domestic abuse victims or stalker victims.,1
Tracking of shipments and parcels for logistics purposes.,0
A home security company employee misuses access to view live feeds from customers' cameras.,1
"Mobile apps request access to device hardware (e.g., camera, microphone) unnecessarily, leading to overcollection of data.",1
Posting a video of someone receiving bad news and their reaction.,1
Uninvited acquaintances joining your table at a restaurant.,0
Aggregate rental history to evaluate tenant reliability.,0
Questioning a patient about their dietary habits in a nutritionist's assessment.,0
Aggregate online shopping behavior to predict future purchasing trends.,0
Asking about the frequency and nature of personal travel for a national security questionnaire.,0
Combine juror decisions to study trends in legal judgments.,0
The aggressive distribution of promotional materials in person.,0
Compile data from different sources to create detailed maps and geographic information.,0
An online survey mistakenly publishes respondents' identities alongside their answers.,1
"Privacy settings on devices and apps are overly complex, deterring users from customizing them to their preferences.",0
